
BlockPath,BlockType,ParamContext,ParamName,ParamValue
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Constant4,Constant,Block,BlockType,Constant
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Constant4,Constant,,Position,"[315, 855, 380, 875]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Constant4,Constant,,ZOrder,479
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Constant4,Constant,,Value,0
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Draft (m),SubSystem,Block,BlockType,SubSystem
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Draft (m),SubSystem,,Position,"[470, 1245, 665, 1305]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Draft (m),SubSystem,,ZOrder,567
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Draft (m),SubSystem,,ContentPreviewEnabled,on
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Draft (m),SubSystem,PortProperties/Port[out:1],Name,Draft (m)
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Draft (m),SubSystem,PortProperties/Port[out:1],PropagatedSignals,draft
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Draft (m)/nabla,Inport,Block,BlockType,Inport
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Draft (m)/nabla,Inport,,Position,"[20, 38, 50, 52]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Draft (m)/nabla,Inport,,ZOrder,524
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Draft (m)/nabla,Inport,PortProperties/Port[out:1],PropagatedSignals,Volume (m3)
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Draft (m)/Constant6,Constant,Block,BlockType,Constant
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Draft (m)/Constant6,Constant,,Position,"[80, 67, 125, 83]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Draft (m)/Constant6,Constant,,ZOrder,523
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Draft (m)/Constant6,Constant,,Value,2
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Draft (m)/Divide7,Product,Block,BlockType,Product
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Draft (m)/Divide7,Product,,Position,"[160, 23, 185, 187]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Draft (m)/Divide7,Product,,ZOrder,519
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Draft (m)/Divide7,Product,,Inputs,*////
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Draft (m)/Divide7,Product,PortProperties/Port[out:1],Name,draft
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Draft (m)/beam pontoon (m),Constant,Block,BlockType,Constant
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Draft (m)/beam pontoon (m),Constant,,Position,"[80, 127, 125, 143]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Draft (m)/beam pontoon (m),Constant,,ZOrder,520
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Draft (m)/beam pontoon (m),Constant,,Value,B_pont
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Draft (m)/block coefficient,Constant,Block,BlockType,Constant
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Draft (m)/block coefficient,Constant,,Position,"[80, 97, 125, 113]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Draft (m)/block coefficient,Constant,,ZOrder,522
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Draft (m)/block coefficient,Constant,,Value,Cb_pont
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Draft (m)/length (m),Constant,Block,BlockType,Constant
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Draft (m)/length (m),Constant,,Position,"[80, 157, 125, 173]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Draft (m)/length (m),Constant,,ZOrder,521
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Draft (m)/length (m),Constant,,Value,L
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Draft (m)/T,Outport,Block,BlockType,Outport
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Draft (m)/T,Outport,,Position,"[245, 98, 275, 112]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Draft (m)/T,Outport,,ZOrder,525
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/From,From,Block,BlockType,From
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/From,From,,Position,"[80, 1137, 170, 1153]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/From,From,,ZOrder,466
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/From,From,,GotoTag,G33
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/From1,From,Block,BlockType,From
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/From1,From,,Position,"[80, 1157, 170, 1173]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/From1,From,,ZOrder,471
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/From1,From,,GotoTag,G44
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/From11,From,Block,BlockType,From
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/From11,From,,Position,"[80, 1082, 170, 1098]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/From11,From,,ZOrder,571
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/From11,From,,GotoTag,rg
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/From11,From,PortProperties/Port[out:1],Name,CG corrected for payload (m)
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/From11,From,PortProperties/Port[out:1],PropagatedSignals,rg
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/From15,From,Block,BlockType,From
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/From15,From,,Position,"[250, 337, 340, 353]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/From15,From,,ZOrder,558
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/From15,From,,GotoTag,rg
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/From15,From,PortProperties/Port[out:1],PropagatedSignals,rg
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/From2,From,Block,BlockType,From
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/From2,From,,Position,"[80, 1177, 170, 1193]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/From2,From,,ZOrder,474
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/From2,From,,GotoTag,G55
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/From21,From,Block,BlockType,From
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/From21,From,,Position,"[315, 1007, 405, 1023]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/From21,From,,ZOrder,459
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/From21,From,,GotoTag,nabla
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/From21,From,PortProperties/Port[out:1],Name,Volume (m3)
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/From21,From,PortProperties/Port[out:1],PropagatedSignals,Volume (m3)
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/From3,From,Block,BlockType,From
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/From3,From,,Position,"[80, 1197, 170, 1213]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/From3,From,,ZOrder,489
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/From3,From,,GotoTag,M
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/From3,From,PortProperties/Port[out:1],PropagatedSignals,M in CO
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/From6,From,Block,BlockType,From
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/From6,From,,Position,"[80, 1057, 170, 1073]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/From6,From,,ZOrder,569
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/From6,From,,GotoTag,nabla
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/From6,From,PortProperties/Port[out:1],Name,Volume (m3)
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/From6,From,PortProperties/Port[out:1],PropagatedSignals,Volume (m3)
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/From8,From,Block,BlockType,From
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/From8,From,,Position,"[80, 1032, 170, 1048]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/From8,From,,ZOrder,570
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/From8,From,,GotoTag,T
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/From8,From,PortProperties/Port[out:1],Name,Draft (m)
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/From8,From,PortProperties/Port[out:1],PropagatedSignals,Draft (m)
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/From9,From,Block,BlockType,From
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/From9,From,,Position,"[80, 1267, 170, 1283]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/From9,From,,ZOrder,518
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/From9,From,,GotoTag,nabla
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/From9,From,PortProperties/Port[out:1],Name,Volume (m3)
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/From9,From,PortProperties/Port[out:1],PropagatedSignals,Volume (m3)
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM,SubSystem,Block,BlockType,SubSystem
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM,SubSystem,,Position,"[315, 1028, 385, 1102]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM,SubSystem,,ZOrder,574
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM,SubSystem,,ContentPreviewEnabled,on
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM,SubSystem,PortProperties/Port[out:1],PropagatedSignals,GM_T
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM,SubSystem,PortProperties/Port[out:2],PropagatedSignals,GM_L
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/T,Inport,Block,BlockType,Inport
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/T,Inport,,Position,"[20, 28, 50, 42]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/T,Inport,,ZOrder,539
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/T,Inport,PortProperties/Port[out:1],PropagatedSignals,Draft (m)
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/nabla,Inport,Block,BlockType,Inport
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/nabla,Inport,,Position,"[20, 78, 50, 92]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/nabla,Inport,,ZOrder,540
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/nabla,Inport,,Port,2
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/nabla,Inport,PortProperties/Port[out:1],PropagatedSignals,Volume (m3)
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/rg,Inport,Block,BlockType,Inport
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/rg,Inport,,Position,"[20, 523, 50, 537]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/rg,Inport,,ZOrder,541
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/rg,Inport,,Port,3
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/rg,Inport,PortProperties/Port[out:1],PropagatedSignals,CG corrected for payload (m)
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Constant7,Constant,Block,BlockType,Constant
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Constant7,Constant,,Position,"[155, 232, 200, 248]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Constant7,Constant,,ZOrder,524
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Constant7,Constant,,Value,I_T
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Constant8,Constant,Block,BlockType,Constant
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Constant8,Constant,,Position,"[155, 332, 200, 348]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Constant8,Constant,,ZOrder,527
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Constant8,Constant,,Value,I_L
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Divide5,Product,Block,BlockType,Product
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Divide5,Product,,Position,"[240, 68, 265, 172]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Divide5,Product,,ZOrder,506
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Divide5,Product,,Inputs,*//
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Divide6,Product,Block,BlockType,Product
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Divide6,Product,,Position,"[240, 220, 265, 300]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Divide6,Product,,ZOrder,525
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Divide6,Product,,Inputs,*/
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Divide6,Product,PortProperties/Port[out:1],Name,BM_T
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Divide8,Product,Block,BlockType,Product
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Divide8,Product,,Position,"[240, 320, 265, 400]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Divide8,Product,,ZOrder,528
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Divide8,Product,,Inputs,*/
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Divide8,Product,PortProperties/Port[out:1],Name,BM_L
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Gain5,Gain,Block,BlockType,Gain
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Gain5,Gain,,Position,"[350, 20, 380, 50]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Gain5,Gain,,ZOrder,504
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Gain5,Gain,,Gain,1/3
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Gain5,Gain,PortProperties/Port[out:1],Name,KB
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Gain6,Gain,Block,BlockType,Gain
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Gain6,Gain,,Position,"[160, 70, 190, 100]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Gain6,Gain,,ZOrder,505
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Gain6,Gain,,Gain,0.5
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Gain7,Gain,Block,BlockType,Gain
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Gain7,Gain,,Position,"[160, 20, 190, 50]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Gain7,Gain,,ZOrder,517
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Gain7,Gain,,Gain,5/2
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Selector3,Selector,Block,BlockType,Selector
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Selector3,Selector,,Position,"[160, 511, 200, 549]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Selector3,Selector,,ZOrder,534
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Selector3,Selector,,InputPortWidth,3
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Selector3,Selector,,IndexOptions,Index vector (dialog)
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Selector3,Selector,,Indices,3
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Selector3,Selector,,OutputSizes,1
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Sum,Sum,Block,BlockType,Sum
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Sum,Sum,,Position,"[300, 25, 320, 45]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Sum,Sum,,ZOrder,511
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Sum,Sum,,Inputs,|+-
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Sum1,Sum,Block,BlockType,Sum
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Sum1,Sum,,Position,"[430, 250, 450, 270]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Sum1,Sum,,ZOrder,530
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Sum1,Sum,,Inputs,++|
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Sum1,Sum,PortProperties/Port[out:1],Name,KM_T
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Sum2,Sum,Block,BlockType,Sum
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Sum2,Sum,,Position,"[465, 350, 485, 370]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Sum2,Sum,,ZOrder,531
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Sum2,Sum,,Inputs,++|
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Sum2,Sum,PortProperties/Port[out:1],Name,KM_L
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Sum3,Sum,Block,BlockType,Sum
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Sum3,Sum,,Position,"[245, 470, 265, 490]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Sum3,Sum,,ZOrder,535
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Sum3,Sum,,Inputs,|+-
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Sum3,Sum,PortProperties/Port[out:1],Name,KG
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Sum4,Sum,Block,BlockType,Sum
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Sum4,Sum,,Position,"[550, 250, 570, 270]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Sum4,Sum,,ZOrder,537
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Sum4,Sum,,Inputs,|+-
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Sum4,Sum,PortProperties/Port[out:1],Name,GM_T
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Sum5,Sum,Block,BlockType,Sum
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Sum5,Sum,,Position,"[605, 350, 625, 370]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Sum5,Sum,,ZOrder,538
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Sum5,Sum,,Inputs,|+-
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Sum5,Sum,PortProperties/Port[out:1],Name,GM_L
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/beam pontoon (m),Constant,Block,BlockType,Constant
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/beam pontoon (m),Constant,,Position,"[155, 147, 200, 163]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/beam pontoon (m),Constant,,ZOrder,510
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/beam pontoon (m),Constant,,Value,B_pont
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/length (m),Constant,Block,BlockType,Constant
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/length (m),Constant,,Position,"[155, 112, 200, 128]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/length (m),Constant,,ZOrder,509
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/length (m),Constant,,Value,L
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/GM_T,Outport,Block,BlockType,Outport
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/GM_T,Outport,,Position,"[705, 253, 735, 267]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/GM_T,Outport,,ZOrder,542
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/GM_L,Outport,Block,BlockType,Outport
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/GM_L,Outport,,Position,"[705, 353, 735, 367]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/GM_L,Outport,,ZOrder,543
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/GM_L,Outport,,Port,2
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/G_CF (spring stiffness matrix in the CF),SubSystem,Block,BlockType,SubSystem
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/G_CF (spring stiffness matrix in the CF),SubSystem,,Position,"[470, 929, 665, 1101]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/G_CF (spring stiffness matrix in the CF),SubSystem,,ZOrder,560
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/G_CF (spring stiffness matrix in the CF),SubSystem,,ContentPreviewEnabled,on
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/G_CF (spring stiffness matrix in the CF),SubSystem,PortProperties/Port[out:1],PropagatedSignals,G_CF (spring stiffness matrix in the CF)
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/G_CF (spring stiffness matrix in the CF)/rho,Inport,Block,BlockType,Inport
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/G_CF (spring stiffness matrix in the CF)/rho,Inport,,Position,"[40, 103, 70, 117]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/G_CF (spring stiffness matrix in the CF)/rho,Inport,,ZOrder,554
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/G_CF (spring stiffness matrix in the CF)/rho,Inport,PortProperties/Port[out:1],PropagatedSignals,rho
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/G_CF (spring stiffness matrix in the CF)/g,Inport,Block,BlockType,Inport
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/G_CF (spring stiffness matrix in the CF)/g,Inport,,Position,"[40, 143, 70, 157]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/G_CF (spring stiffness matrix in the CF)/g,Inport,,ZOrder,555
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/G_CF (spring stiffness matrix in the CF)/g,Inport,,Port,2
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/G_CF (spring stiffness matrix in the CF)/g,Inport,PortProperties/Port[out:1],PropagatedSignals,g
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/G_CF (spring stiffness matrix in the CF)/nabla,Inport,Block,BlockType,Inport
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/G_CF (spring stiffness matrix in the CF)/nabla,Inport,,Position,"[40, 213, 70, 227]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/G_CF (spring stiffness matrix in the CF)/nabla,Inport,,ZOrder,556
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/G_CF (spring stiffness matrix in the CF)/nabla,Inport,,Port,3
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/G_CF (spring stiffness matrix in the CF)/nabla,Inport,PortProperties/Port[out:1],PropagatedSignals,Volume (m3)
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/G_CF (spring stiffness matrix in the CF)/GM_T,Inport,Block,BlockType,Inport
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/G_CF (spring stiffness matrix in the CF)/GM_T,Inport,,Position,"[355, 178, 385, 192]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/G_CF (spring stiffness matrix in the CF)/GM_T,Inport,,ZOrder,561
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/G_CF (spring stiffness matrix in the CF)/GM_T,Inport,,Port,4
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/G_CF (spring stiffness matrix in the CF)/GM_T,Inport,PortProperties/Port[out:1],PropagatedSignals,GM_T
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/G_CF (spring stiffness matrix in the CF)/GM_L,Inport,Block,BlockType,Inport
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/G_CF (spring stiffness matrix in the CF)/GM_L,Inport,,Position,"[355, 223, 385, 237]"
